"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2025","550.00","556.00","559.00","529.00","1.52M","-1.08%"
"05/18/2025","556.00","570.00","573.00","548.00","1.01M","-2.46%"
"05/11/2025","570.00","554.00","580.00","554.00","798.19K","3.26%"
"05/04/2025","552.00","565.50","573.50","550.50","948.13K","-2.30%"
"04/27/2025","565.00","555.00","574.00","546.50","1.13M","2.45%"
"04/20/2025","551.50","580.00","584.00","551.00","1.47M","-4.91%"
"04/13/2025","580.00","549.00","580.00","549.00","690.60K","5.65%"
"04/06/2025","549.00","538.00","562.00","523.50","1.66M","0.73%"
"03/30/2025","545.00","528.00","550.00","520.50","1.21M","3.22%"
"03/23/2025","528.00","520.50","549.00","506.00","1.51M","0.00%"
"03/16/2025","528.00","508.50","528.00","497.00","1.19M","3.83%"
"03/09/2025","508.50","501.00","513.50","477.00","1.85M","1.60%"
"03/02/2025","500.50","491.60","520.00","490.20","1.60M","2.14%"
"02/23/2025","490.00","487.00","496.20","484.40","1.12M","0.62%"
"02/16/2025","487.00","488.00","508.00","485.00","1.08M","-0.29%"
"02/09/2025","488.40","485.00","500.00","478.40","800.50K","1.62%"
"02/02/2025","480.60","465.00","489.80","450.00","1.20M","7.28%"
"01/26/2025","448.00","486.00","493.00","448.00","1.27M","-7.82%"
"01/19/2025","486.00","486.00","503.50","486.00","1.34M","-1.02%"
"01/12/2025","491.00","485.00","491.00","470.40","1.13M","1.24%"
"01/05/2025","485.00","486.00","489.60","474.00","609.35K","-0.12%"
"12/29/2024","485.60","486.00","490.00","478.00","205.38K","-0.49%"
"12/22/2024","488.00","452.80","488.00","450.20","364.31K","7.96%"
"12/15/2024","452.00","473.00","479.00","452.00","1.20M","-4.64%"
"12/08/2024","474.00","480.40","491.00","470.00","722.37K","-1.25%"
"12/01/2024","480.00","480.00","488.80","472.20","1.28M","0.21%"
"11/24/2024","479.00","486.00","496.80","478.60","2.12M","-1.44%"
"11/17/2024","486.00","485.00","500.00","475.00","987.65K","0.21%"
"11/10/2024","485.00","488.00","490.00","450.00","1.15M","-1.42%"
"11/03/2024","492.00","490.00","499.00","475.20","745.79K","0.41%"
"10/27/2024","490.00","486.00","500.00","483.00","741.69K","0.82%"
"10/20/2024","486.00","499.40","499.60","484.00","727.52K","-2.68%"
"10/13/2024","499.40","479.00","503.50","471.00","1.19M","4.26%"
"10/06/2024","479.00","462.00","494.80","460.20","1.32M","3.23%"
"09/29/2024","464.00","454.60","464.00","438.20","921.85K","2.02%"
"09/22/2024","454.80","420.00","457.80","417.00","1.61M","9.06%"
"09/15/2024","417.00","412.00","435.20","410.00","1.14M","1.71%"
"09/08/2024","410.00","405.60","420.00","402.20","1.43M","1.23%"
"09/01/2024","405.00","425.00","425.20","390.80","722.81K","-4.75%"
"08/25/2024","425.20","410.00","425.20","405.00","1.29M","1.72%"
"08/18/2024","418.00","415.00","429.00","410.00","940.05K","-1.65%"
"08/11/2024","425.00","392.00","425.00","389.40","1.72M","8.53%"
"08/04/2024","391.60","383.00","397.00","377.20","857.90K","0.41%"
"07/28/2024","390.00","387.40","392.00","381.00","679.20K","0.52%"
"07/21/2024","388.00","389.00","390.20","374.60","565.09K","-0.26%"
"07/14/2024","389.00","384.80","389.00","374.00","981.33K","1.04%"
"07/07/2024","385.00","375.00","385.00","374.00","764.73K","2.94%"
"06/30/2024","374.00","366.40","379.00","366.40","542.33K","2.19%"
"06/23/2024","366.00","361.00","375.00","357.60","999.62K","2.23%"
"06/16/2024","358.00","375.80","375.80","358.00","594.99K","-4.79%"
"06/09/2024","376.00","360.00","377.60","355.40","1.08M","3.58%"
"06/02/2024","363.00","366.00","366.00","353.60","534.67K","-1.14%"
"05/26/2024","367.20","374.40","374.80","352.20","2.75M","-0.49%"
