"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2025","220.00","222.80","223.20","217.40","1.95M","-1.08%"
"09/28/2025","222.40","213.40","224.40","211.00","3.85M","4.41%"
"09/21/2025","213.00","218.00","220.80","211.00","2.00M","-2.29%"
"09/14/2025","218.00","225.40","225.40","216.40","3.51M","-3.28%"
"09/07/2025","225.40","233.00","233.40","223.40","2.38M","-3.18%"
"08/31/2025","232.80","232.20","237.00","230.60","2.52M","0.34%"
"08/24/2025","232.00","232.00","240.60","229.00","3.64M","-0.94%"
"08/17/2025","234.20","218.40","234.80","218.00","3.67M","7.23%"
"08/10/2025","218.40","213.80","223.60","210.60","4.33M","2.82%"
"08/03/2025","212.40","222.20","222.20","211.80","2.82M","-4.50%"
"07/27/2025","222.40","224.00","224.00","216.00","4.04M","-0.71%"
"07/20/2025","224.00","220.00","226.40","219.60","1.04M","2.19%"
"07/13/2025","219.20","227.00","229.40","216.20","3.19M","-3.44%"
"07/06/2025","227.00","227.00","229.80","222.20","3.25M","0.00%"
"06/29/2025","227.00","228.60","228.60","216.00","3.14M","-0.70%"
"06/22/2025","228.60","226.80","228.60","218.40","2.46M","0.70%"
"06/15/2025","227.00","225.80","230.60","224.00","3.36M","0.35%"
"06/08/2025","226.20","230.80","234.40","223.40","3.55M","-1.82%"
"06/01/2025","230.40","228.60","232.60","225.00","4.13M","3.32%"
"05/25/2025","223.00","242.60","244.20","223.00","6.79M","-8.15%"
"05/18/2025","242.80","243.60","245.60","232.00","3.15M","-0.90%"
"05/11/2025","245.00","233.00","246.00","227.00","4.40M","4.26%"
"05/04/2025","235.00","227.00","238.20","225.00","2.97M","3.71%"
"04/27/2025","226.60","223.40","231.00","222.20","2.87M","0.71%"
"04/20/2025","225.00","234.00","235.40","220.00","3.41M","-3.85%"
"04/13/2025","234.00","216.80","234.80","214.00","2.23M","8.33%"
"04/06/2025","216.00","220.00","226.00","203.00","6.06M","-3.66%"
"03/30/2025","224.20","236.00","240.00","222.60","4.48M","-3.94%"
"03/23/2025","233.40","240.00","242.00","230.40","4.54M","-1.93%"
"03/16/2025","238.00","260.00","263.00","236.80","5.04M","-8.46%"
"03/09/2025","260.00","252.80","264.00","252.40","3.84M","2.85%"
"03/02/2025","252.80","258.40","260.60","249.00","3.58M","-1.71%"
"02/23/2025","257.20","258.60","268.00","251.00","5.22M","-0.54%"
"02/16/2025","258.60","258.00","261.00","251.00","2.53M","-0.23%"
"02/09/2025","259.20","239.60","262.60","228.20","5.86M","9.74%"
"02/02/2025","236.20","231.00","251.00","226.00","3.57M","6.40%"
"01/26/2025","222.00","247.60","249.60","222.00","3.02M","-10.34%"
"01/19/2025","247.60","247.40","250.40","242.20","2.17M","0.24%"
"01/12/2025","247.00","262.40","262.40","242.60","3.48M","-5.87%"
"01/05/2025","262.40","266.60","267.00","260.00","2.26M","-1.58%"
"12/29/2024","266.60","268.80","269.00","261.20","418.92K","-0.89%"
"12/22/2024","269.00","256.60","269.40","255.00","1.03M","4.91%"
"12/15/2024","256.40","260.00","266.00","254.00","2.61M","-1.38%"
"12/08/2024","260.00","265.00","270.00","258.80","1.91M","-2.55%"
"12/01/2024","266.80","258.00","270.60","255.60","1.65M","3.41%"
"11/24/2024","258.00","265.00","275.60","258.00","2.22M","-2.64%"
"11/17/2024","265.00","260.00","274.00","258.20","1.91M","1.92%"
"11/10/2024","260.00","260.00","267.20","255.00","2.76M","0.00%"
"11/03/2024","260.00","267.00","275.00","258.00","1.35M","-1.96%"
"10/27/2024","265.20","271.60","271.60","262.20","1.40M","-0.45%"
"10/20/2024","266.40","276.80","279.60","264.60","2.13M","-3.76%"
"10/13/2024","276.80","272.00","277.60","272.00","1.55M","1.02%"
"10/06/2024","274.00","269.40","276.00","263.40","3.11M","1.71%"
"09/29/2024","269.40","267.00","272.00","265.00","1.53M","0.15%"
"09/22/2024","269.00","269.60","273.60","264.00","3.22M","-0.37%"
"09/15/2024","270.00","254.00","270.00","253.40","3.22M","6.30%"
"09/08/2024","254.00","255.00","258.60","249.00","2.80M","-0.39%"
"09/01/2024","255.00","259.80","262.00","252.00","3.79M","-1.85%"
"08/25/2024","259.80","254.00","261.20","250.00","3.86M","2.28%"
"08/18/2024","254.00","251.80","254.40","243.20","2.57M","0.71%"
"08/11/2024","252.20","231.00","252.20","229.20","6.88M","9.18%"
"08/04/2024","231.00","229.00","231.00","220.20","1.99M","0.70%"
"07/28/2024","229.40","228.20","232.80","224.20","2.38M","0.61%"
"07/21/2024","228.00","228.00","230.60","224.00","1.27M","-0.61%"
"07/14/2024","229.40","227.20","232.80","224.60","3.81M","0.88%"
"07/07/2024","227.40","233.80","236.80","221.60","6.16M","-2.82%"
"06/30/2024","234.00","226.00","236.00","222.00","2.71M","3.54%"
"06/23/2024","226.00","214.00","229.40","214.00","2.97M","7.11%"
"06/16/2024","211.00","219.00","224.00","211.00","3.30M","-3.65%"
"06/09/2024","219.00","230.00","231.40","218.40","2.32M","-4.78%"
"06/02/2024","230.00","216.80","231.40","216.60","3.14M","6.28%"
"05/26/2024","216.40","230.00","230.00","216.00","5.61M","-5.91%"
