"Date","Price","Open","High","Low","Vol.","Change %"
"03/23/2025","134.60","134.50","135.90","131.10","7.93M","0.07%"
"03/16/2025","134.50","136.00","138.00","133.00","13.20M","-1.10%"
"03/09/2025","136.00","130.50","137.50","130.40","17.26M","3.50%"
"03/02/2025","131.40","126.00","131.70","122.50","31.96M","5.71%"
"02/23/2025","124.30","128.60","133.20","124.30","27.71M","-2.97%"
"02/16/2025","128.10","129.30","131.40","126.70","12.07M","-1.46%"
"02/09/2025","130.00","132.10","134.40","128.00","18.78M","-0.99%"
"02/02/2025","131.30","120.00","131.70","118.50","16.84M","12.99%"
"01/26/2025","116.20","124.50","126.40","116.20","11.50M","-6.67%"
"01/19/2025","124.50","119.50","124.90","119.50","5.89M","2.47%"
"01/12/2025","121.50","120.70","122.70","116.00","7.96M","0.50%"
"01/05/2025","120.90","124.50","125.20","120.20","9.29M","-2.89%"
"12/29/2024","124.50","122.40","125.00","121.20","2.56M","2.05%"
"12/22/2024","122.00","121.60","124.40","120.10","4.79M","0.41%"
"12/15/2024","121.50","132.00","134.80","120.40","19.31M","-7.95%"
"12/08/2024","132.00","130.00","136.10","127.20","14.45M","1.54%"
"12/01/2024","130.00","128.70","131.30","126.90","25.21M","1.09%"
"11/24/2024","128.60","134.30","135.30","128.60","21.76M","-4.24%"
"11/17/2024","134.30","139.40","141.70","133.30","12.89M","-4.07%"
"11/10/2024","140.00","138.50","140.30","134.60","11.57M","1.45%"
"11/03/2024","138.00","147.20","147.20","135.20","11.21M","-3.63%"
"10/27/2024","143.20","147.00","149.60","141.00","10.91M","-1.92%"
"10/20/2024","146.00","142.50","148.80","139.00","12.91M","2.03%"
"10/13/2024","143.10","138.70","144.80","138.70","8.66M","3.25%"
"10/06/2024","138.60","144.50","146.50","137.70","8.41M","-4.28%"
"09/29/2024","144.80","136.90","144.80","133.80","16.00M","5.69%"
"09/22/2024","137.00","132.60","139.20","131.30","16.88M","3.40%"
"09/15/2024","132.50","123.40","133.50","122.00","12.24M","7.37%"
"09/08/2024","123.40","125.90","126.90","121.00","8.39M","-2.06%"
"09/01/2024","126.00","124.70","127.40","119.80","5.75M","1.04%"
"08/25/2024","124.70","126.50","128.70","124.00","8.68M","-0.08%"
"08/18/2024","124.80","120.20","124.80","120.00","7.59M","3.57%"
"08/11/2024","120.50","120.00","122.40","117.80","6.51M","2.12%"
"08/04/2024","118.00","121.00","121.70","116.50","10.62M","-3.04%"
"07/28/2024","121.70","127.00","127.00","119.10","8.22M","-4.17%"
"07/21/2024","127.00","126.80","130.40","126.00","9.65M","-0.63%"
"07/14/2024","127.80","122.00","130.60","120.30","10.28M","4.16%"
"07/07/2024","122.70","119.00","123.40","119.00","7.51M","3.11%"
"06/30/2024","119.00","119.00","120.20","115.10","5.43M","-0.08%"
"06/23/2024","119.10","110.30","120.50","108.40","10.72M","8.47%"
"06/16/2024","109.80","115.80","116.00","109.80","9.73M","-5.34%"
"06/09/2024","116.00","119.50","119.90","115.10","5.63M","-3.17%"
"06/02/2024","119.80","120.00","121.70","118.00","5.30M","-0.33%"
"05/26/2024","120.20","123.00","125.00","117.60","15.57M","-2.28%"
